RAM Address (Nr),Variable Name,Description (Original German),Description (Translated English),Unit,NA Formula Number,Normwert (Quantization),Tester Display Range,System Constraints / Code Conditions
866,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 866,Unassigned RAM Address / Reserved Channel 866,,,,,
867,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 867,Unassigned RAM Address / Reserved Channel 867,,,,,
868,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 868,Unassigned RAM Address / Reserved Channel 868,,,,,
869,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 869,Unassigned RAM Address / Reserved Channel 869,,,,,
870,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 870,Unassigned RAM Address / Reserved Channel 870,,,,,
871,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 871,Unassigned RAM Address / Reserved Channel 871,,,,,
872,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 872,Unassigned RAM Address / Reserved Channel 872,,,,,
873,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 873,Unassigned RAM Address / Reserved Channel 873,,,,,
874,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 874,Unassigned RAM Address / Reserved Channel 874,,,,,
875,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 875,Unassigned RAM Address / Reserved Channel 875,,,,,
876,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 876,Unassigned RAM Address / Reserved Channel 876,,,,,
877,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 877,Unassigned RAM Address / Reserved Channel 877,,,,,
878,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 878,Unassigned RAM Address / Reserved Channel 878,,,,,
879,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 879,Unassigned RAM Address / Reserved Channel 879,,,,,
880,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 880,Unassigned RAM Address / Reserved Channel 880,,,,,
881,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 881,Unassigned RAM Address / Reserved Channel 881,,,,,
882,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 882,Unassigned RAM Address / Reserved Channel 882,,,,,
883,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 883,Unassigned RAM Address / Reserved Channel 883,,,,,
884,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 884,Unassigned RAM Address / Reserved Channel 884,,,,,
885,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 885,Unassigned RAM Address / Reserved Channel 885,,,,,
886,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 886,Unassigned RAM Address / Reserved Channel 886,,,,,
887,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 887,Unassigned RAM Address / Reserved Channel 887,,,,,
888,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 888,Unassigned RAM Address / Reserved Channel 888,,,,,
889,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 889,Unassigned RAM Address / Reserved Channel 889,,,,,
890,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 890,Unassigned RAM Address / Reserved Channel 890,,,,,
891,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 891,Unassigned RAM Address / Reserved Channel 891,,,,,
892,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 892,Unassigned RAM Address / Reserved Channel 892,,,,,
893,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 893,Unassigned RAM Address / Reserved Channel 893,,,,,
894,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 894,Unassigned RAM Address / Reserved Channel 894,,,,,
895,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 895,Unassigned RAM Address / Reserved Channel 895,,,,,
896,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 896,Unassigned RAM Address / Reserved Channel 896,,,,,
897,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 897,Unassigned RAM Address / Reserved Channel 897,,,,,
898,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 898,Unassigned RAM Address / Reserved Channel 898,,,,,
899,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 899,Unassigned RAM Address / Reserved Channel 899,,,,,
900,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 900,Unassigned RAM Address / Reserved Channel 900,,,,,
901,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 901,Unassigned RAM Address / Reserved Channel 901,,,,,
902,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 902,Unassigned RAM Address / Reserved Channel 902,,,,,
903,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 903,Unassigned RAM Address / Reserved Channel 903,,,,,
904,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 904,Unassigned RAM Address / Reserved Channel 904,,,,,
905,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 905,Unassigned RAM Address / Reserved Channel 905,,,,,
906,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 906,Unassigned RAM Address / Reserved Channel 906,,,,,
907,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 907,Unassigned RAM Address / Reserved Channel 907,,,,,
908,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 908,Unassigned RAM Address / Reserved Channel 908,,,,,
909,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 909,Unassigned RAM Address / Reserved Channel 909,,,,,
910,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 910,Unassigned RAM Address / Reserved Channel 910,,,,,
911,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 911,Unassigned RAM Address / Reserved Channel 911,,,,,
912,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 912,Unassigned RAM Address / Reserved Channel 912,,,,,
913,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 913,Unassigned RAM Address / Reserved Channel 913,,,,,
914,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 914,Unassigned RAM Address / Reserved Channel 914,,,,,
915,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 915,Unassigned RAM Address / Reserved Channel 915,,,,,
916,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 916,Unassigned RAM Address / Reserved Channel 916,,,,,
917,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 917,Unassigned RAM Address / Reserved Channel 917,,,,,
918,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 918,Unassigned RAM Address / Reserved Channel 918,,,,,
919,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 919,Unassigned RAM Address / Reserved Channel 919,,,,,
920,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 920,Unassigned RAM Address / Reserved Channel 920,,,,,
921,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 921,Unassigned RAM Address / Reserved Channel 921,,,,,
922,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 922,Unassigned RAM Address / Reserved Channel 922,,,,,
923,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 923,Unassigned RAM Address / Reserved Channel 923,,,,,
924,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 924,Unassigned RAM Address / Reserved Channel 924,,,,,
925,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 925,Unassigned RAM Address / Reserved Channel 925,,,,,
926,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 926,Unassigned RAM Address / Reserved Channel 926,,,,,
927,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 927,Unassigned RAM Address / Reserved Channel 927,,,,,
928,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 928,Unassigned RAM Address / Reserved Channel 928,,,,,
929,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 929,Unassigned RAM Address / Reserved Channel 929,,,,,
930,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 930,Unassigned RAM Address / Reserved Channel 930,,,,,
931,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 931,Unassigned RAM Address / Reserved Channel 931,,,,,
932,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 932,Unassigned RAM Address / Reserved Channel 932,,,,,
933,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 933,Unassigned RAM Address / Reserved Channel 933,,,,,
934,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 934,Unassigned RAM Address / Reserved Channel 934,,,,,
935,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 935,Unassigned RAM Address / Reserved Channel 935,,,,,
936,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 936,Unassigned RAM Address / Reserved Channel 936,,,,,
937,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 937,Unassigned RAM Address / Reserved Channel 937,,,,,
938,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 938,Unassigned RAM Address / Reserved Channel 938,,,,,
939,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 939,Unassigned RAM Address / Reserved Channel 939,,,,,
940,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 940,Unassigned RAM Address / Reserved Channel 940,,,,,
941,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 941,Unassigned RAM Address / Reserved Channel 941,,,,,
942,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 942,Unassigned RAM Address / Reserved Channel 942,,,,,
943,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 943,Unassigned RAM Address / Reserved Channel 943,,,,,
944,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 944,Unassigned RAM Address / Reserved Channel 944,,,,,
945,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 945,Unassigned RAM Address / Reserved Channel 945,,,,,
946,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 946,Unassigned RAM Address / Reserved Channel 946,,,,,
947,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 947,Unassigned RAM Address / Reserved Channel 947,,,,,
948,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 948,Unassigned RAM Address / Reserved Channel 948,,,,,
949,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 949,Unassigned RAM Address / Reserved Channel 949,,,,,
950,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 950,Unassigned RAM Address / Reserved Channel 950,,,,,
951,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 951,Unassigned RAM Address / Reserved Channel 951,,,,,
952,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 952,Unassigned RAM Address / Reserved Channel 952,,,,,
953,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 953,Unassigned RAM Address / Reserved Channel 953,,,,,
954,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 954,Unassigned RAM Address / Reserved Channel 954,,,,,
955,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 955,Unassigned RAM Address / Reserved Channel 955,,,,,
956,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 956,Unassigned RAM Address / Reserved Channel 956,,,,,
957,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 957,Unassigned RAM Address / Reserved Channel 957,,,,,
958,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 958,Unassigned RAM Address / Reserved Channel 958,,,,,
959,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 959,Unassigned RAM Address / Reserved Channel 959,,,,,
960,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 960,Unassigned RAM Address / Reserved Channel 960,,,,,
961,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 961,Unassigned RAM Address / Reserved Channel 961,,,,,
962,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 962,Unassigned RAM Address / Reserved Channel 962,,,,,
963,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 963,Unassigned RAM Address / Reserved Channel 963,,,,,
964,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 964,Unassigned RAM Address / Reserved Channel 964,,,,,
965,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 965,Unassigned RAM Address / Reserved Channel 965,,,,,
966,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 966,Unassigned RAM Address / Reserved Channel 966,,,,,
967,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 967,Unassigned RAM Address / Reserved Channel 967,,,,,
968,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 968,Unassigned RAM Address / Reserved Channel 968,,,,,
969,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 969,Unassigned RAM Address / Reserved Channel 969,,,,,
970,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 970,Unassigned RAM Address / Reserved Channel 970,,,,,
971,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 971,Unassigned RAM Address / Reserved Channel 971,,,,,
972,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 972,Unassigned RAM Address / Reserved Channel 972,,,,,
973,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 973,Unassigned RAM Address / Reserved Channel 973,,,,,
974,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 974,Unassigned RAM Address / Reserved Channel 974,,,,,
975,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 975,Unassigned RAM Address / Reserved Channel 975,,,,,
976,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 976,Unassigned RAM Address / Reserved Channel 976,,,,,
977,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 977,Unassigned RAM Address / Reserved Channel 977,,,,,
978,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 978,Unassigned RAM Address / Reserved Channel 978,,,,,
979,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 979,Unassigned RAM Address / Reserved Channel 979,,,,,
980,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 980,Unassigned RAM Address / Reserved Channel 980,,,,,
981,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 981,Unassigned RAM Address / Reserved Channel 981,,,,,
982,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 982,Unassigned RAM Address / Reserved Channel 982,,,,,
983,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 983,Unassigned RAM Address / Reserved Channel 983,,,,,
984,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 984,Unassigned RAM Address / Reserved Channel 984,,,,,
985,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 985,Unassigned RAM Address / Reserved Channel 985,,,,,
986,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 986,Unassigned RAM Address / Reserved Channel 986,,,,,
987,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 987,Unassigned RAM Address / Reserved Channel 987,,,,,
988,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 988,Unassigned RAM Address / Reserved Channel 988,,,,,
989,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 989,Unassigned RAM Address / Reserved Channel 989,,,,,
990,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 990,Unassigned RAM Address / Reserved Channel 990,,,,,
991,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 991,Unassigned RAM Address / Reserved Channel 991,,,,,
992,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 992,Unassigned RAM Address / Reserved Channel 992,,,,,
993,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 993,Unassigned RAM Address / Reserved Channel 993,,,,,
994,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 994,Unassigned RAM Address / Reserved Channel 994,,,,,
995,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 995,Unassigned RAM Address / Reserved Channel 995,,,,,
996,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 996,Unassigned RAM Address / Reserved Channel 996,,,,,
997,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 997,Unassigned RAM Address / Reserved Channel 997,,,,,
998,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 998,Unassigned RAM Address / Reserved Channel 998,,,,,
999,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 999,Unassigned RAM Address / Reserved Channel 999,,,,,
1000,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1000,Unassigned RAM Address / Reserved Channel 1000,,,,,
1001,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1001,Unassigned RAM Address / Reserved Channel 1001,,,,,
1002,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1002,Unassigned RAM Address / Reserved Channel 1002,,,,,
1003,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1003,Unassigned RAM Address / Reserved Channel 1003,,,,,
1004,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1004,Unassigned RAM Address / Reserved Channel 1004,,,,,
1005,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1005,Unassigned RAM Address / Reserved Channel 1005,,,,,
1006,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1006,Unassigned RAM Address / Reserved Channel 1006,,,,,
1007,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1007,Unassigned RAM Address / Reserved Channel 1007,,,,,
1008,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1008,Unassigned RAM Address / Reserved Channel 1008,,,,,
1009,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1009,Unassigned RAM Address / Reserved Channel 1009,,,,,
1010,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1010,Unassigned RAM Address / Reserved Channel 1010,,,,,
1011,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1011,Unassigned RAM Address / Reserved Channel 1011,,,,,
1012,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1012,Unassigned RAM Address / Reserved Channel 1012,,,,,
1013,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1013,Unassigned RAM Address / Reserved Channel 1013,,,,,
1014,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1014,Unassigned RAM Address / Reserved Channel 1014,,,,,
1015,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1015,Unassigned RAM Address / Reserved Channel 1015,,,,,
1016,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1016,Unassigned RAM Address / Reserved Channel 1016,,,,,
1017,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1017,Unassigned RAM Address / Reserved Channel 1017,,,,,
1018,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1018,Unassigned RAM Address / Reserved Channel 1018,,,,,
1019,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1019,Unassigned RAM Address / Reserved Channel 1019,,,,,
1020,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1020,Unassigned RAM Address / Reserved Channel 1020,,,,,
1021,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1021,Unassigned RAM Address / Reserved Channel 1021,,,,,
1022,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1022,Unassigned RAM Address / Reserved Channel 1022,,,,,
1023,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1023,Unassigned RAM Address / Reserved Channel 1023,,,,,
1024,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1024,Unassigned RAM Address / Reserved Channel 1024,,,,,
1025,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1025,Unassigned RAM Address / Reserved Channel 1025,,,,,
1026,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1026,Unassigned RAM Address / Reserved Channel 1026,,,,,
1027,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1027,Unassigned RAM Address / Reserved Channel 1027,,,,,
1028,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1028,Unassigned RAM Address / Reserved Channel 1028,,,,,
1029,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1029,Unassigned RAM Address / Reserved Channel 1029,,,,,
1030,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1030,Unassigned RAM Address / Reserved Channel 1030,,,,,
1031,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1031,Unassigned RAM Address / Reserved Channel 1031,,,,,
1032,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1032,Unassigned RAM Address / Reserved Channel 1032,,,,,
1033,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1033,Unassigned RAM Address / Reserved Channel 1033,,,,,
1034,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1034,Unassigned RAM Address / Reserved Channel 1034,,,,,
1035,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1035,Unassigned RAM Address / Reserved Channel 1035,,,,,
1036,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1036,Unassigned RAM Address / Reserved Channel 1036,,,,,
1037,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1037,Unassigned RAM Address / Reserved Channel 1037,,,,,
1038,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1038,Unassigned RAM Address / Reserved Channel 1038,,,,,
1039,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1039,Unassigned RAM Address / Reserved Channel 1039,,,,,
1040,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1040,Unassigned RAM Address / Reserved Channel 1040,,,,,
1041,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1041,Unassigned RAM Address / Reserved Channel 1041,,,,,
1042,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1042,Unassigned RAM Address / Reserved Channel 1042,,,,,
1043,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1043,Unassigned RAM Address / Reserved Channel 1043,,,,,
1044,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1044,Unassigned RAM Address / Reserved Channel 1044,,,,,
1045,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1045,Unassigned RAM Address / Reserved Channel 1045,,,,,
1046,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1046,Unassigned RAM Address / Reserved Channel 1046,,,,,
1047,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1047,Unassigned RAM Address / Reserved Channel 1047,,,,,
1048,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1048,Unassigned RAM Address / Reserved Channel 1048,,,,,
1049,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1049,Unassigned RAM Address / Reserved Channel 1049,,,,,
1050,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1050,Unassigned RAM Address / Reserved Channel 1050,,,,,
1051,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1051,Unassigned RAM Address / Reserved Channel 1051,,,,,
1052,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1052,Unassigned RAM Address / Reserved Channel 1052,,,,,
1053,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1053,Unassigned RAM Address / Reserved Channel 1053,,,,,
1054,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1054,Unassigned RAM Address / Reserved Channel 1054,,,,,
1055,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1055,Unassigned RAM Address / Reserved Channel 1055,,,,,
1056,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1056,Unassigned RAM Address / Reserved Channel 1056,,,,,
1057,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1057,Unassigned RAM Address / Reserved Channel 1057,,,,,
1058,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1058,Unassigned RAM Address / Reserved Channel 1058,,,,,
1059,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1059,Unassigned RAM Address / Reserved Channel 1059,,,,,
1060,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1060,Unassigned RAM Address / Reserved Channel 1060,,,,,
1061,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1061,Unassigned RAM Address / Reserved Channel 1061,,,,,
1062,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1062,Unassigned RAM Address / Reserved Channel 1062,,,,,
1063,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1063,Unassigned RAM Address / Reserved Channel 1063,,,,,
1064,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1064,Unassigned RAM Address / Reserved Channel 1064,,,,,
1065,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1065,Unassigned RAM Address / Reserved Channel 1065,,,,,
1066,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1066,Unassigned RAM Address / Reserved Channel 1066,,,,,
1067,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1067,Unassigned RAM Address / Reserved Channel 1067,,,,,
1068,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1068,Unassigned RAM Address / Reserved Channel 1068,,,,,
1069,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1069,Unassigned RAM Address / Reserved Channel 1069,,,,,
1070,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1070,Unassigned RAM Address / Reserved Channel 1070,,,,,
1071,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1071,Unassigned RAM Address / Reserved Channel 1071,,,,,
1072,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1072,Unassigned RAM Address / Reserved Channel 1072,,,,,
1073,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1073,Unassigned RAM Address / Reserved Channel 1073,,,,,
1074,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1074,Unassigned RAM Address / Reserved Channel 1074,,,,,
1075,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1075,Unassigned RAM Address / Reserved Channel 1075,,,,,
